Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-22593-09D8B59164B2DFEF01B84E2A123322FE7B74D7108097B2A44D453D79C954AE59F,Android DefaultWidevineL3Phone Android Phone,2022-09-09T15:06:51.732,2022-10-05T06:52:34.712,2022-09-09T15:06:51.732,2022-10-05T06:52:34.712,2022-09-09T15:06:51.732,2022-10-05T06:52:34.712,2022-09-09T15:06:51.732,2022-10-05T06:52:34.712,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-G955F-4445-0C44F112A64B1444CA7CB09067573EEFDCC777A99B6DE48954861FD5B60A96E97,Android DefaultWidevineL3Phone Android Phone,2022-09-11T04:42:43.571,2022-10-02T21:29:17.876,2022-09-11T04:42:43.571,2022-10-02T21:29:17.876,2022-09-11T04:42:43.571,2022-10-02T21:29:17.876,2022-09-11T04:42:43.571,2022-10-02T21:29:17.876,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-G955F-7176-0C44F112A64B1444CA7CB09067573EEFDCC777A99B6DE48954861FD5B60A96E97,Android DefaultWidevineL3Phone Android Phone,2022-08-26T07:34:20.766,2022-09-18T11:13:55.928,2022-08-26T07:34:20.766,2022-09-18T11:13:55.928,2022-08-26T07:34:20.766,2022-09-18T11:13:55.928,2022-08-26T07:34:20.766,2022-09-18T11:13:55.928,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-G955F-4445-06378F3680B59F1D064D1DE5AC56C6BC8A2611A813C0004E2DDFB3F5300875469,Android DefaultWidevineL3Phone Android Phone,2022-05-20T16:56:26.900,2022-09-09T15:40:49.680,2022-05-20T16:56:26.900,2022-09-09T15:40:49.680,2022-05-20T16:56:26.900,2022-09-09T15:40:49.680,2022-05-20T16:56:26.900,2022-09-09T15:40:49.680,2022-07-12T19:40:38.643
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-22589-09D8B59164B2DFEF01B84E2A123322FE7B74D7108097B2A44D453D79C954AE59F,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-19970-09D8B59164B2DFEF01B84E2A123322FE7B74D7108097B2A44D453D79C954AE59F,Android DefaultWidevineL3Phone Android Phone,2022-08-23T16:10:59.601,2022-08-24T16:30:04.023,2022-08-23T16:10:59.601,2022-08-24T16:30:04.023,2022-08-23T16:10:59.601,2022-08-24T16:30:04.023,2022-08-23T16:10:59.601,2022-08-24T16:30:04.023,1970-01-01T00:00:00.000
Amit,NFCDCH-AP-H3AAFP7WMA8N29VDD75VVLJ3J79T53,Netflix Android Phone-Chrome Android Phone,,,,,,,,,2022-07-12T19:40:39.152
Amit,NFCDCH-02-JARFU51T7A4RRH30T8T3D6TYR031TL,Chrome PC (Cadmium),2022-06-17T10:35:35.516,2022-07-17T12:14:28.632,2022-06-17T10:35:35.516,2022-07-17T12:14:28.632,2022-06-17T10:35:35.516,2022-07-17T12:14:28.632,2022-06-17T10:35:35.516,2022-07-17T12:14:28.632,2022-07-12T19:40:39.054
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-22589-099F769B69720B81164276464C4AF52AF955860DB8FA87637948E62E3E49BD262,Android DefaultWidevineL3Phone Android Phone,2022-06-01T01:03:04.992,2022-07-08T13:21:17.113,2022-06-01T01:03:04.992,2022-07-08T13:21:17.113,2022-06-01T01:03:04.992,2022-07-08T13:21:17.113,2022-06-01T01:03:04.992,2022-07-08T13:21:17.113,1970-01-01T00:00:00.000
Amit,NFCDCH-02-HA50HJ9AU7K6L9RQRTLHHNV25YPGRU,Chrome PC (Cadmium),2021-06-11T12:08:13.056,2022-06-11T09:49:29.384,2021-06-11T12:08:13.056,2022-06-11T09:49:29.384,2021-06-11T12:08:13.056,2022-06-11T09:49:29.384,2021-06-11T12:08:13.056,2022-06-11T09:49:29.384,1970-01-01T00:00:00.000
Amit,NFCDCH-02-GHURJ0CW9ET883HR3RX939136TX1RY,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Amit,NFCDCH-02-HYU0H7X0GV19019TEGJKDCYY4TNPCV,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-XIAOMM2101K9AI-22590-05617930B95C6B87B3381D6A7A55A98D77EE313D19BB699733CECEAD7EC91D41A,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Amit,NFCDCH-02-H0V1CFQM2V1P44QVQ87914AQTXNYP9,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-XIAOMM2101K9AI-20391-02F7027A59C764C1D039B1117BA0941B67EFF7546BACA603A7815FCBEFC61F89D,DefaultWidevineAndroidPhone,,,,,,,,,1970-01-01T00:00:00.000
Amit,NFCDCH-02-GZP2N6D5NTQVGY4UVFTK6T6Q4K40JR,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Amit,NFCDCH-AP-G3LD5HJP2T7MFT3LXNYE4FMLA16VQ2,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
Arnab,NFCDCH-LX-L0Q7HY4C7E8EJTE1KLQFPVPCKDFE1F,Netflix Chrome Linux (Cadmium) HTML 5,2024-04-02T05:58:07.272,2024-05-15T12:14:00.713,2024-04-02T05:58:46.215,2024-05-15T12:14:00.713,2024-04-02T05:58:07.272,2024-05-15T12:14:00.713,2024-04-02T05:58:46.215,2024-05-15T12:14:00.713,
