Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Arnab,One Piece Film: Strong World,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 16:02:06,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1962000},{""eventType"":""playing"",""sessionOffsetMs"":3216,""mediaOffsetMs"":1962000},{""eventType"":""paused"",""sessionOffsetMs"":102708,""mediaOffsetMs"":2061110},{""eventType"":""playing"",""sessionOffsetMs"":967948,""mediaOffsetMs"":2061255},{""eventType"":""paused"",""sessionOffsetMs"":1151083,""mediaOffsetMs"":2243365},{""eventType"":""playing"",""sessionOffsetMs"":1258763,""mediaOffsetMs"":2243494},{""eventType"":""paused"",""sessionOffsetMs"":1383295,""mediaOffsetMs"":2366608},{""eventType"":""playing"",""sessionOffsetMs"":1627268,""mediaOffsetMs"":2366680},{""eventType"":""paused"",""sessionOffsetMs"":2007461,""mediaOffsetMs"":2746168},{""eventType"":""playing"",""sessionOffsetMs"":2024895,""mediaOffsetMs"":2746498},{""eventType"":""paused"",""sessionOffsetMs"":2353625,""mediaOffsetMs"":3074793},{""eventType"":""playing"",""sessionOffsetMs"":3289937,""mediaOffsetMs"":3074960},{""eventType"":""paused"",""sessionOffsetMs"":3539089,""mediaOffsetMs"":3323101},{""eventType"":""playing"",""sessionOffsetMs"":3556471,""mediaOffsetMs"":3323356},{""eventType"":""paused"",""sessionOffsetMs"":3573433,""mediaOffsetMs"":3339797},{""eventType"":""playing"",""sessionOffsetMs"":3904416,""mediaOffsetMs"":3340007},{""eventType"":""paused"",""sessionOffsetMs"":4316224,""mediaOffsetMs"":3751096},{""eventType"":""playing"",""sessionOffsetMs"":4982159,""mediaOffsetMs"":3751424},{""eventType"":""paused"",""sessionOffsetMs"":5003702,""mediaOffsetMs"":3772122},{""eventType"":""playing"",""sessionOffsetMs"":5040071,""mediaOffsetMs"":3772428},{""eventType"":""paused"",""sessionOffsetMs"":5706899,""mediaOffsetMs"":4438818},{""eventType"":""playing"",""sessionOffsetMs"":5753506,""mediaOffsetMs"":4438916},{""eventType"":""paused"",""sessionOffsetMs"":5796589,""mediaOffsetMs"":4481628}]"
Arnab,One Piece Film: Strong World_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 16:02:04,IN,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1844,""mediaOffsetMs"":0}]"
Arnab,Blade of Demon Destruction: Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 16:00:45,IN,"[{""eventType"":""start"",""sessionOffsetMs"":38,""mediaOffsetMs"":8},{""eventType"":""playing"",""sessionOffsetMs"":1436,""mediaOffsetMs"":8},{""eventType"":""paused"",""sessionOffsetMs"":50066,""mediaOffsetMs"":48506},{""eventType"":""reposition"",""sessionOffsetMs"":50070,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":50104,""mediaOffsetMs"":0}]"
Arnab,"The Office (U.S.): Season 9: ""The Farm""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:21,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2},{""eventType"":""playing"",""sessionOffsetMs"":733,""mediaOffsetMs"":2},{""eventType"":""paused"",""sessionOffsetMs"":131990,""mediaOffsetMs"":131000},{""eventType"":""reposition"",""sessionOffsetMs"":131991,""mediaOffsetMs"":147273},{""eventType"":""playing"",""sessionOffsetMs"":132054,""mediaOffsetMs"":147273},{""eventType"":""stopped"",""sessionOffsetMs"":1206797,""mediaOffsetMs"":1222016}]"
Arnab,The Office (U.S.): Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:19,IN,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":650,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1689,""mediaOffsetMs"":707}]"
Arnab,Spy x Family: Season 1_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:15,IN,"[{""eventType"":""start"",""sessionOffsetMs"":31,""mediaOffsetMs"":705},{""eventType"":""playing"",""sessionOffsetMs"":1398,""mediaOffsetMs"":705},{""eventType"":""stopped"",""sessionOffsetMs"":3420,""mediaOffsetMs"":2501}]"
Arnab,"SPY x FAMILY: Season 1: ""Disarm the Time Bomb""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:07,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":962,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":8016,""mediaOffsetMs"":6628}]"
Arnab,Spy x Family: Season 1_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:04,IN,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":253,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1537,""mediaOffsetMs"":1001}]"
Arnab,Spy x Family: Season 1_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 10:41:02,IN,"[{""eventType"":""start"",""sessionOffsetMs"":1,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":622,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":936,""mediaOffsetMs"":190}]"
Arnab,"The Office (U.S.): Season 9: ""Moving On""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 09:00:34,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1327000},{""eventType"":""playing"",""sessionOffsetMs"":1267,""mediaOffsetMs"":1327000},{""eventType"":""paused"",""sessionOffsetMs"":25025,""mediaOffsetMs"":1350000},{""eventType"":""reposition"",""sessionOffsetMs"":25026,""mediaOffsetMs"":1359814},{""eventType"":""playing"",""sessionOffsetMs"":25101,""mediaOffsetMs"":1359814},{""eventType"":""paused"",""sessionOffsetMs"":395142,""mediaOffsetMs"":1729695},{""eventType"":""playing"",""sessionOffsetMs"":506890,""mediaOffsetMs"":1729710},{""eventType"":""stopped"",""sessionOffsetMs"":1228091,""mediaOffsetMs"":2450911}]"
Arnab,The Office (U.S.): Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 09:00:32,IN,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":5},{""eventType"":""playing"",""sessionOffsetMs"":787,""mediaOffsetMs"":5},{""eventType"":""stopped"",""sessionOffsetMs"":1571,""mediaOffsetMs"":460}]"
