Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,browseTitles,,/browse,2024-05-14 10:36:36
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C2f6bad42-95f1-4cb8-85da-2b8ae40a729b-25730580%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8FA8A9CB13_p_1715679236948%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715679233681%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 09:36:14
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C2f6bad42-95f1-4cb8-85da-2b8ae40a729b-25730580%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8FA8A9CB13_p_1715679236948%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715679233681%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286862?trackId=14170286,2024-05-14 09:36:14
Arnab,www,browseTitles,,/browse,2024-05-14 09:36:13
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C2f6bad42-95f1-4cb8-85da-2b8ae40a729b-25730580%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-8FA8A9CB13_p_1715679236948%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715679233681%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 09:36:13
Arnab,www,profilesGate,,/browse,2024-05-14 09:33:55
Arnab,www,browseTitles,,/browse,2024-05-14 09:33:55
Arnab,www,browseTitles,https://www.netflix.com/browse,/browse,2024-05-14 05:54:42
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C1%2C8851936b-7d1a-4b32-8696-ea201c34af67-253226314%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B95D032567_p_1715665985481%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715665985481%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 05:54:42
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C1%2C8851936b-7d1a-4b32-8696-ea201c34af67-253226314%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B95D032567_p_1715665985481%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715665985481%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 05:54:42
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C1%2C8851936b-7d1a-4b32-8696-ea201c34af67-253226314%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B95D032567_p_1715665985481%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715665985481%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286862?trackId=14170286,2024-05-14 05:54:42
Arnab,www,browseTitles,,/browse,2024-05-13 16:02:03
Arnab,www,playback,/browse,/watch/80998781?trackId=14170286&tctx=1%2C1%2Cfa9e8f67-30ff-49ab-ada1-0e93f1002fce-230620106%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-B4D60CFBEB_p_1715616045679%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715616043127%2C%2C%2C%2C80998781%2CVideo%3A80998781%2CminiDpPlayButton,2024-05-13 16:02:03
Arnab,www,profilesGate,,/browse,2024-05-13 16:00:47
Arnab,www,browseTitles,,/browse,2024-05-13 16:00:47
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 10:41:21
